PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
199530.0,168870.0,30660,1.0,8,Large Office,Office,160418.0,7,DOWNTOWN,47.60377,-122.32971,2003,13214416.0
224864.625,196071.25,52703,1.0,13,Large Office,Office,192159.375,7,DOWNTOWN,47.60249,-122.32854,2006,13843866.0
114395.0,106099.0,8296,1.0,7,Large Office,Office,96582.0,7,DOWNTOWN,47.60193,-122.32812,1909,2746560.75
89200.0,89200.0,0,1.0,2,Retail Store,Retail Store,89200.0,4,NORTHEAST,47.66024,-122.31278,1978,6461937.0
224864.625,196071.25,0,1.0,23,Large Office,Office,192159.375,4,NORTHEAST,47.66072,-122.31466,1971,16336999.203125
36000.0,36000.0,0,1.0,5,Other,Data Center,36000.0,4,NORTHEAST,47.6606,-122.31512,1969,16336999.203125
99005.0,99005.0,0,0.0,5,Small- and Mid-Sized Office,Office,79555.0,4,NORTHEAST,47.661,-122.31626,1961,4728488.5
135051.0,90803.0,44248,1.0,6,Large Office,Office,95943.0,4,NORTHEAST,47.66065,-122.31689,2002,4426136.0
220649.0,137929.0,82720,1.0,5,Large Office,Office,145754.0,4,NORTHEAST,47.65999,-122.31741,2002,7046345.5
93660.0,93660.0,0,1.0,5,Self-Storage Facility,Self-Storage Facility,93660.0,7,DOWNTOWN,47.61591,-122.33238,1964,873221.875
224864.625,196071.25,64660,1.0,18,Large Office,Office,192159.375,7,DOWNTOWN,47.61597,-122.33086,1980,16336999.203125
224864.625,185760.0,195621,1.0,11,Mixed Use Property,Parking,182820.0,7,DOWNTOWN,47.6177,-122.3306,2000,9765777.0
